company_name,domain,tin,source,hubspot_checked,legal_name,hubspot_object_id,status,exists_in_hubspot,Score_1,sent_clay,error_message,reason_score1,pain_point1,segment,industri_sii,hubspot_lifecycle,hubspot_match_stage,manual_hubspot_checked,adjusted_vertical,enrichment_status,batch_id,batch_date,contacts_found,contacts_with_email,contacts_with_linkedin,ready_for_outreach,outreach_started_date,last_hs_activity_date,do_not_contact,signal,id,createdAt,updatedAt
COMPANIA MINERA MINERALES COPIAPO LIMITADA,,76046944-0,webhook,True,COMPANIA MINERA MINERALES COPIAPO LIMITADA,,sent_to_clay,False,85,True,,"gran empresa (20 pts), 6 empresas hijas (15 pts), 243 trabajadores (5 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en extracción de minerales de hierro. Estimación de 50-200 proveedores (15 pts) típica en operaciones mineras de este tamaño con múltiples procesos y contratistas. Sin señal externa (0 pts).","Gran operación minera con 243 trabajadores y 6 filiales requiere gestión compleja de proveedores y contratistas bajo regulación Sernageomin. Ciclos de auditoría, renovación de permisos y validación continua de contrapartes demandan control robusto para evitar incumplimientos regulatorios y disrupciones operacionales.",mining / energía,EXTRACCION DE MINERALES DE HIERRO,,,,mining-hse,clay_sent,2026-W22,2026-05-25,,,,True,,,,,184,2026-05-15T19:56:40.772Z,2026-05-25T19:31:47.357Z
ASAP,asap.cl,76173088-6,webhook,True,ASAP SOLUCIONES INTEGRALES SPA,19468194325.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 2 empresas hijas (8 pts), 1376 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts); giro «construcción de edificios para uso residencial» no es actividad regulada por CMF, Sernageomin, SEC, CNE, SISS, SUBTEL ni Supersal. Estimación 50-200 proveedores (15 pts) por volumen operativo típico de constructora residencial con múltiples proyectos. Sin señal (0 pts).","Constructora de 1.376 trabajadores con estructura de holding (4 padres, 2 filiales) gestiona decenas de proveedores, contratistas y subcontratistas en múltiples proyectos simultáneos. Requiere validación continua de poderes, antecedentes financieros, licencias y certificaciones. Riesgo de conflictos de interés en transacciones entre entidades del grupo.",manufactura / retail,CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,lead,"""domain""",,mfg-retail-hold,hs_deal_created,2026-W22,2026-05-25,3.0,2.0,3.0,True,,2025-11-21T06:00:00.000Z,,,344,2026-05-15T20:51:39.767Z,2026-05-25T16:04:01.867Z
Conectados,conectadoschile.cl,76050902-7,webhook,True,CONECTADOS S.A.,18456602755.0,sent_to_clay,True,62,True,,"mediana (12 pts), 0 empresas hijas (0 pts), 265 trabajadores (5 pts), segmento (0 pts). SUBTEL (15 pts) por giro explícito en telecomunicaciones; estimación 50-200 proveedores (15 pts) acorde a tamaño mediano con operaciones de infraestructura; sin señal (0 pts).","Empresa de telecomunicaciones con 265 empleados y operaciones multi-área requiere gestión continua de proveedores bajo supervisión SUBTEL. Necesita validación permanente de contrapartes, cumplimiento regulatorio formal y monitoreo post-aprobación para evitar sanciones.",utilities / infraestructura,OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.,50020179,"""name""",,util-infra,skipped_hs_lifecycle | lifecycle: 50020179,2026-W21,2026-05-18,,,,,,2025-03-12T06:00:00.000Z,,,193,2026-05-15T19:59:51.233Z,2026-05-18T16:00:30.050Z
GLOBALTEC,globaltec.cl,76051155-2,webhook,True,GLOBALTEC SERVICIOS Y CONSTRUCCION LIMITADA,21541113641.0,"""exists_in_hubspot""",True,60,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 1341 trabajadores (10 pts), segmento sin clasificar (0 pts). Sin regulación (0 pts); giro explícito de construcción e ingeniería civil descarta reguladores específicos. Estimación 50-200 proveedores (15 pts) por escala operativa típica de constructoras con múltiples frentes. Sin señal externa reportada (0 pts).","Empresa constructora grande (1341 trabajadores) con múltiples proyectos de ingeniería civil simultáneos. Gestiona 50-200 proveedores y contratistas especializados con documentación variada, renovaciones periódicas y riesgos de deuda tributaria en cadenas de pago.",manufactura / retail,CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL,lead,"""domain""",,util-infra,hs_deal_created,2026-W22,2026-05-25,2.0,1.0,2.0,True,,2025-11-10T06:00:00.000Z,,,194,2026-05-15T20:00:10.170Z,2026-05-25T16:01:32.927Z
ACONCAGUA FOODS S.A.,aconcaguafoods.cl,76099789-7,webhook,True,ACONCAGUA FOODS S.A.,14918781782.0,"""exists_in_hubspot""",True,60,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 2820 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts); giro es elaboración de productos alimenticios, no menciona distribución ni transmisión regulada. Estimación 50-200 proveedores (15 pts) por escala de manufactura y complejidad de cadena alimentaria. Sin señal (0 pts).","Empresa de 2,820 trabajadores en manufactura alimenticia con cadena compleja de proveedores y contratistas. Requiere validación continua de contrapartes sin regulación específica que la obligue formalmente, pero con alto riesgo operativo y tributario en cada ciclo.",manufactura / retail,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,50020180,"""domain""",,mfg-retail-hold,skipped_hs | lifecycle: 50020180 | last_contact: 2026-05-18T08:00:00.000Z,2026-W21,2026-05-20,6.0,6.0,6.0,True,,2026-05-18T08:00:00.000Z,,,259,2026-05-15T20:22:17.424Z,2026-05-20T15:00:34.468Z
Constructora Yubini Araya,,76046833-9,webhook,True,CONSTRUCTORA YUBINI ARAYA Y COMPANIA LIMITADA.,,sent_to_clay,False,70,True,,"Gran empresa (20 pts), 5 empresas hijas (15 pts), 349 trabajadores (5 pts), segmento (0 pts). Sin regulación sectorial específica—giro de construcción civil no está bajo CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL (0 pts)—; estimación de 50-200 proveedores típicos en constructoras de envergadura con múltiples proyectos (15 pts); sin señal externa reportada (0 pts).","Constructora con 349 empleados y 5 filiales gestiona múltiples proyectos de infraestructura pública. Requiere validar contratistas, proveedores y subcontratistas continuamente. Compleja estructura societaria y alto volumen de contrapartes demandan control documental sistemático.",manufactura / retail,CONSTRUCCION DE PROYECTOS DE SERVICIO PUBLICO,,,,util-infra,clay_sent,2026-W21,2026-05-18,,,,True,,,,,182,2026-05-15T19:55:58.799Z,2026-05-18T14:07:38.406Z
Desierto de Hierro,,76046977-7,webhook,True,SOCIEDAD CONTRACTUAL MINERA DESIERTO DE HIERRO,,sent_to_clay,False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 214 trabajadores (5 pts), segmento sin clasificar (0 pts). Sernageomin regula extracción de minerales de hierro explícitamente en el giro (15 pts); estimación 50-200 proveedores típica en minería de esta escala (15 pts); sin señal externa reportada (0 pts).","Operación minera de 214 trabajadores con extensa cadena de contratistas y proveedores sujeta a regulación Sernageomin. Gestión descentralizada de cumplimiento, renovaciones periódicas de permisos y validación continua de contrapartes en faena.",mining / energía,EXTRACCION DE MINERALES DE HIERRO,,,,mining-hse,clay_sent,2026-W22,2026-05-25,,,,True,,,,,185,2026-05-15T19:57:01.773Z,2026-05-25T19:31:58.533Z
Constructora Oval,constructoraoval.cl,76048251-K,webhook,True,CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LIMITADA,17328694957.0,"""exists_in_hubspot""",True,60,True,,"gran empresa (20 pts), 0 empresas hijas (0 pts), 5399 trabajadores (10 pts), segmento sin clasificar (0 pts). Sin regulación (0 pts). Giro explícito en construcción residencial → Ninguno. Estimación 50-200 proveedores típica en constructora de este tamaño (15 pts): múltiples proyectos, contratistas, materiales, servicios especializados. Sin señal externa reportada (0 pts).","Constructora de 5.399 personas gestiona decenas de proveedores y contratistas simultáneamente en múltiples proyectos residenciales. Sin regulación sectorial formal, pero riesgo financiero y legal alto: validación de poderes, cuentas bancarias, documentación tributaria de contrapartes dispersas. Monitoreo post-aprobación inexistente en la mayoría de casos.",manufactura / retail,CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,lead,"""domain""",,mfg-retail-hold,skipped_hs_activity | last_contact: 2026-04-14T08:00:00.000Z,2026-W22,2026-05-25,4.0,4.0,4.0,True,,2026-04-14T08:00:00.000Z,,,188,2026-05-15T19:58:05.153Z,2026-05-25T21:00:54.226Z
CCTI,ccti.cl,76038177-2,webhook,True,COMPANIA CHILENA DE TRANSPORTES INTERMODALES S.A.,29356946522.0,"""exists_in_hubspot""",True,78,True,,"gran empresa (20 pts), 2 empresas hijas (8 pts), 418 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts) porque el giro es transporte de carga por carretera, no generación, distribución ni telecomunicaciones. Estimación de 50-200 proveedores (15 pts) inferida de operaciones logísticas complejas con múltiples nodos y servicios. Sin señal (0 pts).","Empresa de transporte de carga con 418 empleados y estructura holding compleja (2 filiales, 5 matrices). Gestiona múltiples proveedores y contratistas en operaciones intermodales dispersas. Requiere validación continua de contrapartes, documentación de poderes y cumplimiento de normativa laboral y tributaria sin regulador específico supervisando.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,lead,"""domain""",,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,,,,167,2026-05-15T19:50:41.153Z,2026-05-25T16:01:45.841Z
Dyno Nobel,dynonobel.com,76040923-5,webhook,True,DYNO NOBEL EXPLOSIVOS CHILE LIMITADA,53948687514.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 158 trabajadores (3 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en fabricación de explosivos; estimación 50-200 proveedores (15 pts) dada complejidad de manufactura y regulación de insumos químicos; sin señal externa (0 pts).",Fabricante de explosivos con 158 empleados sujeta a regulación minera estricta. Gestiona múltiples proveedores de materias primas y servicios especializados. Requiere validación continua de contrapartes y cumplimiento normativo permanente en cadena de suministro.,manufactura / retail,FABRICACION DE EXPLOSIVOS Y PRODUCTOS PIROTECNICOS,lead,"""domain""",,mfg-retail-hold,skipped_hs_activity | last_contact: 2026-04-10T08:00:00.000Z,2026-W21,2026-05-18,1.0,1.0,1.0,True,,2026-04-10T08:00:00.000Z,,,172,2026-05-15T19:52:26.776Z,2026-05-18T15:00:38.278Z
Comercial San Ignacio,sanignacioltda.cl,76038564-6,webhook,True,SOCIEDAD COMERCIAL SAN IGNACIO LIMITADA,22530313330.0,"""exists_in_hubspot""",True,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 295 trabajadores (5 pts), segmento (0 pts). Sernageomin (15 pts) dado que el giro menciona explícitamente 'minería, extracción de petróleo' bajo actividades reguladas. Estimado 50-200 proveedores (15 pts) considerando operación de reparación metalúrgica que requiere múltiples insumos y servicios técnicos especializados. Sin señal externa (0 pts).","Empresa de reparación metalúrgica para minería con 295 empleados maneja múltiples proveedores de repuestos, servicios técnicos y materiales. Requiere validación continua de contrapartes ante regulación sectorial y garantizar cumplimiento documentario en cada ciclo de mantenimiento y adquisición.",mining / energía,"REPARACION DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACCION DE PETROLEO Y PARA LA CONSTRUCCION",lead,"""domain""",,mining-hse,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,2025-01-28T06:00:00.000Z,,,168,2026-05-15T19:51:02.195Z,2026-05-25T16:01:39.481Z
Líder Express,lider.cl,76134946-5,webhook,True,ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA,,"""does_not_exists_in_hubspot""",False,60,True,,"gran empresa (20 pts), 0 empresas hijas (0 pts), 10621 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts), proveedores >200 estimados por modelo operativo retail de supermercado con múltiples categorías y distribuidores (25 pts), sin señal (0 pts).","Cadena de supermercados con 10.621 trabajadores gestiona cientos de proveedores de alimentos, bebidas y productos diversos. Sin regulación externa explícita, pero presión interna de compliance: validación continua de contrapartes, renovación de documentación, riesgos tributarios y operativos en cada punto de venta.",manufactura / retail,"VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",,,,mfg-retail-hold,hs_checked,2026-W22,2026-05-25,,,,True,,,,,304,2026-05-15T20:37:50.209Z,2026-05-25T20:01:02.096Z
Ecomac,ecomac.cl,76141834-3,webhook,True,SERVICIOS INMOBILIARIOS ECOMAC S.A.,9826928730.0,"""exists_in_hubspot""",True,71,True,,"Gran empresa (20 pts), 37 empresas hijas (15 pts), 162 trabajadores (3 pts), segmento (0 pts). CMF (15 pts) por giro explícito en asesoría y consultoría en inversión financiera. Estimación 50-200 proveedores (15 pts) por tamaño de holding y operaciones multi-filial. Sin señal (0 pts).","Holding con 37 filiales y 162 empleados en asesoría financiera requiere validar continuamente proveedores, contratistas y contrapartes bajo presión regulatoria CMF. Múltiples entidades, documentación diversa y riesgos de incumplimiento normativo generan complejidad operativa sin automatización.",financiero,"EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA, SOCIEDADES DE APOYO AL GIRO",opportunity,"""domain""",,fsi-reg,skipped_hs | lifecycle: opportunity | last_contact: 2026-04-08T08:00:00.000Z,2026-W21,2026-05-20,1.0,1.0,1.0,True,,2026-04-08T08:00:00.000Z,,,315,2026-05-15T20:41:39.858Z,2026-05-20T15:00:34.572Z
Irazzoky Servicios Mineros,irazzoky.cl,76122231-7,webhook,True,IRAZZOKY SERVICIOS MINEROS LIMITADA,,"""does_not_exists_in_hubspot""",False,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 170 trabajadores (3 pts), segmento sin clasificar (0 pts). Sernageomin (15 pts) por giro explícito en reparación de maquinaria para minería; estimación de 50-200 proveedores (15 pts) basada en tamaño y complejidad operativa de servicios especializados; sin señal externa (0 pts).",Empresa de reparación especializada en maquinaria minera con 170 trabajadores gestiona múltiples proveedores de repuestos y servicios. Requiere cumplimiento regulatorio por Sernageomin. Necesita validación continua de contrapartes y monitoreo de obligaciones legales.,mining / energía,"REPARACION DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACCION DE PETROLEO Y PARA LA CONSTRUCCION",,,,mining-hse,hs_checked,2026-W22,2026-05-25,,,,True,,,,,290,2026-05-15T20:32:54.179Z,2026-05-25T20:01:03.495Z
S & E CONSULTORES LIMITADA,se-consultores.cl,76045080-4,webhook,True,S & E CONSULTORES LIMITADA,,"""does_not_exists_in_hubspot""",False,62,True,,"mediana (12 pts), 4 empresas hijas (15 pts), 42 trabajadores (0 pts), segmento (0 pts). Sin regulación (0 pts): el giro explícito es 'servicios profesionales de ingeniería y actividades conexas de consultoría técnica', clasificado bajo Ninguno según regla de desempate. Estimación de proveedores: 50-200 (15 pts), inferido por volumen operativo típico de empresa de consultoría con múltiples filiales y proyectos. Sin señal (0 pts).","Empresa de consultoría con 42 empleados y 4 filiales que gestiona múltiples proyectos de ingeniería. Requiere validar proveedores técnicos, contratistas y subcontratistas con documentación variable. Riesgo de vínculos indirectos entre filiales y contrapartes generan conflictos de interés no documentados.",utilities / infraestructura,SERVICIOS PROFESIONALES DE INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA,,,,mfg-retail-hold,hs_checked,2026-W22,2026-05-25,,,,True,,,,,179,2026-05-15T19:54:55.160Z,2026-05-25T20:01:02.789Z
Transportes Nahuelbuta,,76050205-7,webhook,True,TRANSPORTES NAHUELBUTA SPA,,sent_to_clay,False,73,True,,"Gran empresa (20 pts), 1 empresas hijas (3 pts), 299 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts). Transporte de carga por carretera típicamente mantiene 50-200 proveedores críticos (combustible, mantención, seguros, logística), estimados en 15 pts. Sin señal (0 pts).","Gran transportista con 299 trabajadores y estructura holding gestiona decenas de proveedores (combustible, mantención, seguros, logística). Renovaciones periódicas de licencias, documentación dispersa y riesgo de incumplimientos tributarios en cadena de proveedores generan fricción operativa constante.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,clay_sent,2026-W22,2026-05-25,,,,True,,,,,192,2026-05-15T19:59:30.019Z,2026-05-25T19:32:03.749Z
INVERSIONES ACUICOLAS S.A.,,76048512-8,webhook,True,INVERSIONES ACUICOLAS S.A.,,sent_to_clay,False,60,True,,"mediana (12 pts), 7 empresas hijas (15 pts), 29 trabajadores (0 pts), segmento (0 pts). CMF (15 pts) por giro explícito en fondos y sociedades de inversión; proveedores estimados 50-200 (15 pts) considerando gestión de múltiples filiales y relaciones financieras; sin señal externa (0 pts).","Holding con 7 filiales y 4 accionistas requiere monitoreo continuo de contrapartes en transacciones financieras y de inversión. Complejidad regulatoria CMF exige validación exhaustiva de proveedores, intermediarios y contratistas con renovaciones periódicas y trazabilidad documental constante.",financiero,FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES,,,,mfg-retail-hold,clay_sent,2026-W22,2026-05-25,,,,True,,,,,189,2026-05-15T19:58:26.798Z,2026-05-25T19:32:08.889Z
Logísticos Santiago,,76051937-5,webhook,True,SERVICIOS LOGISTICOS SANTIAGO S.A.,,sent_to_clay,False,73,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 846 trabajadores (8 pts), segmento (0 pts). Sin regulación (0 pts), estimación de 50-200 proveedores típicos en logística y almacenamiento (15 pts), sin señal externa reportada (0 pts).","Gran operador logístico con 846 empleados gestiona múltiples proveedores y contratistas en almacenamiento y depósito. Sin regulación explícita, pero requiere validación continua de contrapartes, documentación de servicios y monitoreo de cumplimientos operacionales.",utilities / infraestructura,OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.,,,,mfg-retail-hold,sent_to_clay,2026-W21,2026-05-18,,,,True,,,,,197,2026-05-15T20:00:47.126Z,2026-05-22T19:41:40.874Z
ASPEN SpA,aspenspa.cl,76052424-7,webhook,True,INVERSIONES ASPEN SPA,,"""does_not_exists_in_hubspot""",False,61,True,,"gran empresa (20 pts), 1 empresa hija (3 pts), 104 trabajadores (3 pts), segmento (0 pts). Sernageomin (15 pts): giro explícitamente describe actividades de apoyo para explotación de minas y canteras, regulado directamente por Sernageomin. Proveedores 50-200 (15 pts): operación de apoyo minero en Antofagasta con volumen operativo moderado típico del sector. Sin señal (0 pts): no se reporta información de eventos externos relevantes.","Empresa de apoyo minero con 104 trabajadores gestiona múltiples contratistas y proveedores en faena. Sujeta a regulación Sernageomin. Requiere validación continua de contrapartes, licencias vigentes y cumplimiento normativo en operaciones de cantera.",mining / energía,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,,,,mining-hse,hs_checked,2026-W21,2026-05-20,,,,True,,,,,198,2026-05-15T20:01:04.111Z,2026-05-20T15:00:30.459Z
JR Telecomunicaciones,jrtelecomunicaciones.cl,76061491-2,webhook,True,INGENIERIA Y PROYECTOS JR TELECOMUNICACIONES LIMITADA,,"""does_not_exists_in_hubspot""",False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 270 trabajadores (5 pts), segmento sin clasificar (0 pts). SUBTEL regula directamente el giro de telecomunicaciones declarado (15 pts); estimación de 50-200 proveedores por naturaleza de proyectos e ingeniería en telecomunicaciones (15 pts); sin señal externa reportada (0 pts).","Empresa de 270 personas en telecomunicaciones gestiona múltiples proyectos y contratistas. Regulada por SUBTEL, enfrenta obligaciones de compliance formal. Volumen moderado de proveedores requiere validación continua, documentación actualizada y monitoreo post-aprobación para mitigar riesgos regulatorios y operacionales.",utilities / infraestructura,OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.,,,,util-infra,hs_checked,2026-W22,2026-05-25,,,,True,,,,,208,2026-05-15T20:04:35.705Z,2026-05-25T20:01:04.487Z
OXXEAN,oxxean.cl,76043092-7,webhook,True,PUERTO OXXEAN S.A.,30122376053.0,"""exists_in_hubspot""",True,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 230 trabajadores (5 pts), segmento (0 pts). Sin regulación específica de SEC/SISS/SUBTEL; transporte acuático no requiere supervisor sectorial (0 pts). Estimación 50-200 proveedores por volumen operativo de servicios portuarios (15 pts). Sin señal externa reportada (0 pts).","Operadora portuaria con 230 empleados gestiona múltiples proveedores y contratistas en ambiente regulado. Requiere validación continua de terceros, documentación técnica diversa y monitoreo post-aprobación sin plataforma centralizada.",utilities / infraestructura,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO,lead,"""domain""",,util-infra,ready,2026-W22,2026-05-25,,,,True,,2025-02-20T06:00:00.000Z,,,176,2026-05-15T19:53:51.215Z,2026-05-25T21:00:54.501Z
San Jose Constructora Chile,constructorasanjose.com,76093454-2,webhook,True,SAN JOSE CONSTRUCTORA CHILE S.A.,55282917416.0,"""does_not_exists_in_hubspot""",True,70,True,,"Gran empresa (20 pts), 3 empresas hijas (15 pts), 462 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts); giro de construcción civil no regulado sectorialmente. Estimación 50-200 proveedores (15 pts) por volumen operativo típico de constructoras. Sin señal externa (0 pts).","Constructora con 462 empleados y estructura compleja (3 filiales, 3 matrices) ejecuta obras públicas. Gestiona decenas de proveedores y subcontratistas con documentación variada, renovaciones periódicas y riesgos legales en cadena de suministro.",manufactura / retail,CONSTRUCCION DE PROYECTOS DE SERVICIO PUBLICO,,,,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,0.0,1.0,True,,,,,250,2026-05-15T20:19:08.821Z,2026-05-25T22:00:48.172Z
RLA Event Technologies,rla-latam.com,76053299-1,webhook,True,RLA SAV SPA,55282640641.0,"""does_not_exists_in_hubspot""",True,61,True,,"gran empresa (20 pts), 1 empresa hija (3 pts), 107 trabajadores (3 pts), segmento sin clasificar (0 pts). SUBTEL (15 pts) por giro explícito en telecomunicaciones inalámbricas; estimación 50-200 proveedores (15 pts) por operación de red y servicios telecom que requieren múltiples contratistas especializados; sin señal externa reportada (0 pts).","Operadora de telecomunicaciones inalámbricas con 107 empleados dentro de holding complejo (8 padres). Debe gestionar proveedores críticos bajo supervisión SUBTEL, mantener cumplimiento regulatorio continuo y validar contrapartes en cadena de suministro con riesgos de incumplimiento normativo.",utilities / infraestructura,OTROS SERVICIOS DE TELECOMUNICACIONES INALAMBRICAS N.C.P.,,,,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,1.0,True,,,,,199,2026-05-15T20:01:25.410Z,2026-05-25T22:00:41.397Z
Tenaun,,76059447-4,webhook,True,SOCIEDAD COMERCIAL TENAUN SPA,,sent_to_clay,False,61,True,,"gran empresa (20 pts), 1 empresas hijas (3 pts), 539 trabajadores (8 pts), segmento (0 pts). Sin regulación (0 pts). Estimación 50-200 proveedores típicos de retail hipermercado (15 pts) basado en volumen operativo y giro. Sin señal (0 pts).","Hipermercado con 539 empleados y estructura holding gestiona decenas de proveedores de alimentos, bebidas y tabaco. Requiere validación continua de documentación, poderes vigentes y antecedentes tributarios de contrapartes sin supervisión regulatoria externa formal.",manufactura / retail,"VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",,,,mfg-retail-hold,clay_sent,2026-W21,2026-05-20,,,,True,,,,,206,2026-05-15T20:03:53.300Z,2026-05-20T14:50:46.845Z
Bertech,bertech.cl,76054686-0,webhook,True,BERTECH SPA,19527723621.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 152 trabajadores (3 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en «explotación de minas»; estimado 50-200 proveedores (15 pts) dada complejidad operativa minera; sin señal externa (0 pts).","Empresa de apoyo minero con 152 trabajadores gestiona múltiples contratistas y proveedores en operaciones extractivas. Requiere cumplimiento Sernageomin continuo, validación de poderes, documentación renovable y monitoreo post-aprobación sin infraestructura centralizada.",mining / energía,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,lead,"""domain""",,mining-hse,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,2025-04-11T08:00:00.000Z,,,202,2026-05-15T20:02:29.038Z,2026-05-25T23:00:29.748Z
WALMART CHILE,walmart.com,76042014-K,webhook,True,WALMART CHILE S.A.,10272613896.0,sent_to_clay,True,75,True,,"Gran empresa (20 pts), 20 empresas hijas (15 pts), 2.348 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts). Hipermercado retail de escala nacional maneja >200 proveedores de alimentos, bebidas y tabaco (25 pts). Sin señal (0 pts).","Hipermercado con 2.348 empleados y 20 filiales gestiona cientos de proveedores de alimentos, bebidas y tabaco. Sin regulación sectorial formal, enfrenta riesgo tributario, validación continua de contrapartes, renovación periódica de poderes y monitoreo post-aprobación débil en una estructura holding compleja.",manufactura / retail,"VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",50020180,"""name""",,mfg-retail-hold,skipped_hs | lifecycle: 50020180 | last_contact: 2026-02-27T06:00:00.000Z,2026-W22,2026-05-25,10.0,10.0,10.0,True,,2026-02-27T06:00:00.000Z,,,175,2026-05-15T19:53:30.090Z,2026-05-25T20:01:00.024Z
SERVICIOS MARITIMOS Y TRANSPORTES S.A,smtsa.cl,76161234-4,webhook,True,SERVICIOS MARITIMOS Y TRANSPORTES S.A,,sent_to_clay,False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 379 trabajadores (5 pts), segmento (0 pts). Sin regulación específica explícita en giro de transporte marítimo y cabotaje (0 pts); estimación de 50-200 proveedores típicos en operaciones logísticas portuarias (15 pts); sin señal externa reportada (0 pts).","Empresa de transporte marítimo con 379 trabajadores maneja múltiples proveedores y contratistas en operaciones portuarias complejas. Requiere validación continua de documentación, poderes vigentes y cumplimiento tributario de contrapartes. Sin regulación formal explícita, pero operaciones críticas exigen rigor en gestión de riesgos.",utilities / infraestructura,TRANSPORTE DE CARGA MARITIMO Y DE CABOTAJE,,,,util-infra,hs_checked,2026-W21,2026-05-18,,,,True,,,,,331,2026-05-15T20:47:11.955Z,2026-05-22T19:41:00.420Z
Transportes Frankar,frankar.cl,76060284-1,webhook,True,SOCIEDAD DE TRANSPORTES FRANKAR LIMITADA,,"""does_not_exists_in_hubspot""",False,61,True,,"gran empresa (20 pts), 1 empresas hijas (3 pts), 132 trabajadores (3 pts), segmento (0 pts). Sin regulación (0 pts), estimado 50-200 proveedores por operaciones de transporte de carga (15 pts), sin señal (0 pts).","Empresa de transporte de carga con 132 trabajadores gestiona múltiples proveedores (combustible, mantención, seguros, subcontratistas). Sin regulación sectorial explícita, pero requiere validación continua de licencias de conducir, permisos viales y documentación de terceros. Riesgo de incumplimiento tributario y documentación vencida en cadena de suministro.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-20,,,,True,,,,,207,2026-05-15T20:04:14.674Z,2026-05-20T15:00:31.519Z
DGA SpA,sldga.cl,76056630-6,webhook,True,SERVICIOS LOGISTICOS DGA SPA,,"""does_not_exists_in_hubspot""",False,60,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 214 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts). Transporte de carga por carretera con operaciones dispersas estimado entre 50–200 proveedores por naturaleza logística (15 pts). Sin señal externa (0 pts).","Empresa logística de 214 trabajadores con múltiples proveedores de transporte, combustible, mantención y servicios. Requiere validación continua de contrapartes, documentación vigente y monitoreo de cumplimiento tributario sin estructura formal de compliance.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_checked,2026-W22,2026-05-25,,,,True,,,,,203,2026-05-15T20:02:50.048Z,2026-05-25T14:01:08.104Z
