Empresa,RUT,Origen,Segmento,num_hijos,num_padres,num_trabajadores,score_v0,vertical_v0,pain_v0,reasoning_v0,score_v1,vertical_v1,pain_v1,reasoning_v1,score_v2,vertical_v2,pain_v2,reasoning_v2,pts_tamaño,pts_holding,pts_trabajadores,pts_regulacion,pts_proveedores
SACYR CHILE S A,96786880-9,Funnel,Manufactura / Retail,21,2,2037,32,manufactura,Verificación de proveedores y subcontratistas en proyectos de ingeniería civil,Construcción no tiene compliance regulatorio obligatorio como financiero/minería (-30). Tramo ventas 13 indica empresa mediana (+12). Sector construcción típicamente maneja 50-200 proveedores (+15). Sin señal reciente identificada (+0). Sin información de competidores actuales (+0). Score refleja oportunidad moderada por volumen de contrapartes pero sin urgencia regulatoria que típicamente impulsa adopción de KYB en construcción.,56,otro,"Gestión de riesgos en cadena de suministro de proveedores y subcontratistas en proyectos de infraestructura civil, cumplimiento normativo en licitaciones públicas y detección de riesgos reputacionales","Sacyr Chile es empresa constructora de ingeniería civil (no regulada por SISS/SEC, por lo que regulación=0). Como gran empresa en sector construcción, típicamente trabaja con 50-200 proveedores/subcontratistas en proyectos simultáneos (+15 proveedores). La señal aplica (+15) dado que empresas constructoras de este tamaño frecuentemente participan en licitaciones públicas y contratos con entidades fiscalizadas, lo que requiere debida diligencia intensiva. Competencia desconocida=0.",90,Utilities/Infraestructura,Gestión y evaluación de riesgos en una cadena de suministro compleja con múltiples proveedores y contratistas en proyectos de ingeniería civil,"SACYR CHILE opera en construcción de obras de ingeniería civil, que se clasifica en el vertical Utilities/Infraestructura. Como gran empresa (2037 trabajadores) en este sector, está probablemente regulada por entidades como la Superintendencia del Medio Ambiente y organismos de seguridad ocupacional, otorgando 15 puntos. Con 21 empresas hijas y operaciones en proyectos de ingeniería, se estima >200 proveedores típicos en este rubro (25 puntos). Sin señal externa reportada (0 puntos). El pain point principal es la debida diligencia de proveedores y contratistas en proyectos complejos.",20,15,10,15,25
MASISA S.A.,96802690-9,Funnel,Manufactura / Retail,7,1,1246,42,manufactura,Verificación de proveedores en cadena de suministro forestal y cumplimiento normativo ambiental,"Empresa manufacturera grande (tramo 13 SII) sin regulación compliance obligatoria (-30 puntos). Industria forestal con múltiples proveedores de madera estimados entre 50-200 (+15). Gran empresa por facturación (+20). Sin señales de urgencia. Sin información de competencia existente (+0). Score moderado por ser manufactura de bajo riesgo regulatorio comparado con financiero, energía o minería.",44,manufactura,"Gestión de riesgo en cadena de suministro de proveedores de materias primas y componentes para fabricación de tableros de madera, con necesidad de debida diligencia en proveedores forestales y químicos.","MASISA es una gran empresa manufacturera dedicada a fabricación de tableros y hojas de madera enchapada. Se clasifica en segmento Manufactura. Regulación: 0 puntos (no regulada por organismos específicos como CMF, SISS o SEC). Proveedores: +20 puntos (estimado 50-200 proveedores típicos en empresas de fabricación de tableros - proveedores de madera, químicos, logística, servicios). Señal: 0 puntos (sin información de licitaciones, multas, M&A o nueva regulación aplicable). Competencia: 0 puntos (desconocido uso de herramientas de compliance especializadas).",75,Manufactura Retail,"Gestión y evaluación de riesgos en una cadena compleja de proveedores de materias primas, insumos químicos y logística para operaciones de manufactura a gran escala","MASISA es una empresa de manufactura (fabricación de tableros y hojas de madera enchapado) clasificada en Manufactura Retail por su escala industrial y naturaleza productiva. Con 1,246 trabajadores y 7 empresas hijas, es una gran empresa que requiere gestionar cadenas complejas de suministro. Se estima >200 proveedores debido a: (1) complejidad de fabricación de tableros requiere múltiples insumos especializados, (2) escala de operación (gran empresa), (3) estructura con múltiples filiales que sugieren operaciones distribuidas. No hay indicación de regulación específica por CMF/Sernageomin/SEC/CNE. Sin señal externa reportada (N/A). El principal pain_point es la debida diligencia continua sobre una base amplia de proveedores en sector industrial.",20,15,10,0,25
INCHCAPE AUTOMOTRIZ CHILE S.A.,96856360-2,Funnel,Manufactura / Retail,1,1,350,22,manufactura,Verificación de proveedores automotrices y cumplimiento normativo en cadena suministro,"Empresa grande (tramo 13) con probable volumen significativo de proveedores (+15 puntos estimado). Sin embargo, no opera en sectores con compliance regulatorio obligatorio como financiero, energía, minería o utilities (-30 puntos). Industria automotriz carece de obligación legal explícita de KYB como en sectores regulados. Sin señales de eventos urgentes identificadas. El pain point existe pero la regulación no lo obliga, reduciendo urgencia de compra.",44,manufactura,Evaluación de riesgo de proveedores y distribuidores automotrices; cumplimiento normativo en cadena de suministro automotriz; debida diligencia en transacciones B2B de alto volumen,"Inchcape es una gran distribuidora automotriz (venta al por mayor de vehículos), clasificada en Manufactura/Retail por su naturaleza comercial. Regulación: 0 puntos (no regulada por autoridades específicas como CMF, SISS o SEC). Proveedores: +20 puntos (estimado rango 50-200 proveedores típicos en distribución automotriz: importadores, fabricantes, logística). Señal: 0 puntos (sin evidencia de licitación, multas, M&A o nueva regulación aplicable). Competencia: 0 puntos (información de herramientas de compliance desconocida). El sector automotriz requiere validación constante de contrapartes por riesgos regulatorios y financieros.",58,Manufactura Retail,"Gestión y evaluación de riesgos en una cadena de proveedores automotriz compleja, con múltiples proveedores de repuestos, accesorios y servicios asociados","Inchcape es una empresa de venta al por mayor de vehículos automotores, clasificada en Manufactura Retail por su rol en la distribución y comercialización de productos manufacturados. No está sujeta a regulación específica de CMF, Sernageomin, SEC o CNE. Dada su tamaño (gran empresa con 350 trabajadores) y modelo de negocio como distribuidor automotriz mayorista, probablemente maneja >200 proveedores (fabricantes, importadores, distribuidores de repuestos y servicios complementarios). No hay señal externa documentada (N/A). El dolor principal es la necesidad de evaluar múltiples proveedores y colaboradores en cadena de suministro automotriz de alto riesgo regulatorio.",20,3,5,0,25
COOKE AQUACULTURE CHILE SA,96926970-8,Funnel,Manufactura / Retail,0,2,441,32,manufactura,Verificación de proveedores en cadena de suministro acuícola con regulaciones ambientales,"Empresa mediana (tramo 13) en acuicultura sin compliance obligatorio directo como financiero/minería (+5 tamaño). Industria acuícola requiere múltiples proveedores (insumos, logística, servicios) estimado 50-150 (+15). Sin señal de urgencia inmediata identificada (+0). No hay regulación compliance obligatoria específica del sector como en minería/financiero (+0). Score moderado: potencial medio-bajo para KYB dado que no enfrenta presión regulatoria crítica, aunque sí gestiona cadena compleja de contrapartes.",72,otro,"Evaluación de proveedores de insumos acuícolas, proveedores de servicios logísticos y distribuidores; cumplimiento normativo en cadena de suministro de alimentos; debida diligencia en colaboradores y contratistas en operaciones de cultivo marino.","Segmento 'Otro' asignado porque acuicultura no encaja en los segmentos predefinidos (Financiero, Mining/Energía, Utilities, Manufactura/Retail). Regulación: +30 puntos por estar regulada por SEC (Superintendencia de Seguridad Social y Ambiente) en materia ambiental y de seguridad alimentaria en acuicultura. Proveedores: +15 puntos (rango 50-200) considerando cadena típica de una acuícola grande con múltiples proveedores de alimento, servicios técnicos, logística pero no masivamente diversificada. Señal: 0 puntos, sin información de licitaciones, multas, M&A o nuevas regulaciones. Competencia: 0 puntos, sin evidencia de uso de plataformas de compliance especializadas.",70,Manufactura Retail,"Gestión de proveedores de insumos acuícolas, alimentos balanceados, equipamiento y servicios logísticos; cumplimiento normativo de regulaciones sanitarias y ambientales en acuicultura.","COOKE AQUACULTURE es una empresa de cultivo y crianza de peces marinos, clasificada como Manufactura Retail por ser un proceso productivo de transformación/crianza de recursos. Está regulada por la autoridad sanitaria y medioambiental (equivalente a regulación sectorial relevante = 15 puntos). Como operación acuícola de gran escala (441 trabajadores), requiere múltiples proveedores de alimentos balanceados, insumos químicos, equipamiento, logística y servicios especializados, estimando >200 proveedores (25 puntos). Sin señal externa reportada = 0 puntos.",20,0,5,15,25
BANCO DE CREDITO E INVERSIONES,97006000-6,Funnel,Financiero,22,1,8924,85,financiero,Verificación continua de contrapartes y cumplimiento normativo CMF en operaciones masivas,BCI es banco G1 con regulación compliance obligatoria CMF (+30). Gran empresa (+20) con volumen masivo de proveedores y contrapartes (>200) (+25). Sin señal reciente identificada (+0). Potencial competencia con soluciones legacy (-10). Score alto por naturaleza regulatoria del sector y escala operativa que genera necesidad crítica de automatización KYB.,84,financiero,"Gestión de riesgo de contrapartes y cumplimiento de obligaciones de debida diligencia en la evaluación de clientes, proveedores y colaboradores bajo regulación CMF","BCI es un banco regulado por la CMF con obligación explícita de verificar contrapartes (40 puntos en regulación). Como institución financiera de gran tamaño con más de 200 proveedores, recibe 20 puntos en proveedores. No se identifican señales relevantes como licitaciones, multas recientes o M&A (0 puntos en señal). No hay información sobre uso de herramientas de compliance especializadas, por lo que se asigna 0 en competencia (desconocido). El segmento es Financiero por su giro de actividades bancarias.",88,Financiero,"Gestión de riesgo en la debida diligencia de miles de proveedores, clientes y contrapartes financieras para cumplir con regulaciones de la CMF y prevenir lavado de activos.","BCI es un banco comercial chileno, claramente clasificable en vertical Financiero. Como institución bancaria está regulada por la CMF (15 puntos). Por su tamaño (gran empresa con 8924 trabajadores, 22 filiales) y naturaleza operativa, maneja más de 200 proveedores en categorías como tecnología, servicios, logística y outsourcing (25 puntos). No hay señal externa reportada (0 puntos). El pain point se enfoca en su necesidad crítica de evaluar contrapartes y detectar riesgos de cumplimiento normativo.",20,15,10,15,25
SCOTIABANK CHILE,97018000-1,Funnel,Financiero,18,1,6119,75,financiero,Verificación masiva de contrapartes y cumplimiento normativo CMF continuo,"Regulación compliance obligatoria CMF (+30). Gran empresa tramo 13 (+20). Maneja cientos de proveedores y contrapartes (+25). Sin señal reciente identificada (+0). Potencial competidor establecido en soluciones compliance financiero (-10). Score alto por obligación regulatoria y volumen operacional, pero limitado por competencia existente en el segmento.",84,financiero,Gestión de riesgo de contrapartes y cumplimiento de obligaciones de debida diligencia en operaciones bancarias internacionales y locales,"Scotiabank Chile es una institución bancaria regulada por la CMF con obligación legal de verificar contrapartes (40 puntos regulación). Como banco de gran envergadura, cuenta con más de 200 proveedores y contrapartes comerciales (20 puntos proveedores). No hay señales de licitación, multas, M&A o nueva regulación identificadas en la información disponible (0 puntos señal). La metodología de cumplimiento de KYB es desconocida (0 puntos competencia).",88,Financiero,"Gestión y evaluación de riesgos de cumplimiento normativo en una red extensa de proveedores, clientes y colaboradores bajo supervisión regulatoria stricta de la CMF.","Scotiabank Chile es un banco sistemático regulado por la CMF (Comisión para el Mercado Financiero), lo que asigna 15 puntos en regulación. Con 6.119 empleados y 18 empresas hijas, es una gran institución financiera que típicamente gestiona más de 200 proveedores en categorías como tecnología, infraestructura, servicios y outsourcing, asignando 25 puntos. Sin señal externa reportada (N/A = 0 puntos). El vertical es claramente 'Financiero' dado su giro de actividades bancarias. Plutto puede resolver el dolor de cumplimiento regulatorio y debida diligencia en su ecosistema complejo de stakeholders.",20,15,10,15,25
LATAM TRADE CAPITAL S.A.,99595990-9,Funnel,Financiero,1,2,113,65,financiero,Verificación de contrapartes y cumplimiento normativo CMF en operaciones financieras,"Empresa de servicios financieros (giro 6499) con obligación compliance CMF (+30). Tamaño mediano/grande por tramo SII 11 (+12). Sector financiero típicamente maneja volumen moderado-alto de contrapartes (+15). Sin señales recientes identificadas (+0). Asume sin competidor actual (+0). Score refleja regulación obligatoria como factor dominante, pero sin urgencia inmediata aparente.",76,financiero,Verificación y debida diligencia de contrapartes financieras para cumplir obligaciones regulatorias de la CMF,"LATAM TRADE CAPITAL es una empresa de servicios financieros (giro NCPdescribe actividades financieras no reguladas específicamente como seguros/pensiones), clasificada en segmento Financiero. Regulación: +40 puntos porque empresas de servicios financieros están sujetas a supervisión CMF con obligación de verificar contrapartes. Proveedores: +12 puntos asumiendo rango 50-200 proveedores (típico en empresas financieras de gran tamaño). Señal: 0 puntos sin información de licitación, multa, M&A o nueva regulación. Competencia: 0 puntos por desconocimiento de herramientas utilizadas.",59,Financiero,"Gestión y evaluación de riesgos de contrapartes financieras, cumplimiento normativo CMF y debida diligencia en operaciones de capital",La empresa LATAM TRADE CAPITAL S.A. se clasifica en vertical Financiero porque su giro explícito menciona 'servicios financieros'. El nombre también refuerza esta clasificación (TRADE CAPITAL sugiere servicios de financiamiento/capital). Regulación: 15 puntos por estar probablemente regulada por CMF (Comisión para el Mercado Financiero) dado que opera en servicios financieros en Chile. Proveedores: 15 puntos estimados (50-200) considerando que es una gran empresa (113 trabajadores) en servicios financieros que requiere múltiples contrapartes pero no masivamente dispersas. Señal: 0 puntos porque no hay señal externa proporcionada (N/A). El tamaño de gran empresa (20 puntos) ya fue calculado en Python y no se incluye en esta evaluación.,20,3,3,15,15
SIGDO KOPPERS S A,99598300-1,Funnel,Financiero,11,6,34,65,financiero,Verificación de contrapartes y clientes en transacciones de inversión y fondos,Regulación CMF obligatoria (+30). Gran empresa tramo 13 (+20). Alta probabilidad de 50-200+ proveedores en gestión de fondos (+15). Sin señal inmediata de urgencia (+0). Competencia potencial en sector financiero chileno (-10). Total: 55 base + contexto de compliance financiero elevado = 65.,76,financiero,"Verificación exhaustiva de contrapartes (proveedores, clientes, beneficiarios finales) para cumplir obligaciones de debida diligencia ante CMF y mitigar riesgos de lavado de activos y financiamiento del terrorismo","Segmento Financiero: SIGDO KOPPERS es entidad financiera (fondos y sociedades de inversión) regulada por CMF con obligación legal de verificar contrapartes (+40 reg). Se asume base de proveedores en rango 50-200 típico para administradores de fondos (+12 proveedores). Sin información de señales públicas como licitaciones, multas o M&A recientes (0 señal). Competencia desconocida en herramientas de compliance (0 competencia).",68,Financiero,"Gestión de riesgo en la cadena de proveedores de entidades financieras e inversoras, cumplimiento normativo CMF y debida diligencia en operaciones de fondos e inversiones.","SIGDO KOPPERS S.A. se clasifica en vertical Financiero porque su giro es 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES', indicando actividad en gestión de inversiones y fondos. Regulación: 15 puntos por estar bajo regulación CMF (Comisión para el Mercado Financiero) como sociedad de inversión. Proveedores: 15 puntos (50-200) estimados por ser gran empresa (34 trabajadores) con 11 empresas hijas que requiere múltiples proveedores operacionales, tecnológicos y de servicios financieros. Señal: 0 puntos por ausencia de datos externos. El pain_point se centra en compliance y evaluación de riesgo en proveedores, core business de Plutto.",20,15,0,15,15
ENLASA GENERACION CHILE S.A.,76009328-9,No calificados,Mining / Energía,2,2,80,65,utilities,Verificación de proveedores y cumplimiento normativo SEC/CNE en operaciones termoeléctricas,"Empresa grande en sector energético (generación termoeléctrica) con regulación SEC/CNE obligatoria (+30). Tramo 13 indica grandes ventas, presumiblemente gran empresa (+20). Sector utilities con alto volumen de proveedores estimado entre 50-200 (+15). Sin señal reciente de urgencia (-0). Sin información sobre competencia actual (-0). Score refleja alto potencial regulatorio pero requiere validar volumen exacto de proveedores y soluciones actuales.",68,mining,"Gestión de riesgo regulatorio y cumplimiento de obligaciones ante la Superintendencia de Electricidad y Combustibles (SEC) en operaciones de generación termoeléctrica, incluyendo debida diligencia de proveedores críticos en la cadena de suministro de combustibles y operaciones.","ENLASA es regulada por la SEC como generadora termoeléctrica, lo que justifica los 30 puntos en regulación. Con base en datos de empresa grande del sector (típicamente 50-200 proveedores directos en generación termoeléctrica), se asignan 15 puntos en proveedores. No hay señales identificadas (licitación/multa/M&A/nueva regulación=+0). No hay información de uso de herramientas de compliance competitivas (competencia=0). El sector Mining/Energía es el vertical más apropiado dado el giro específico de generación eléctrica bajo regulación SEC.",66,Mining/Energía,"Gestionar la debida diligencia de proveedores críticos en la cadena de suministro de energía, asegurando cumplimiento regulatorio ante la CNE y mitigando riesgos operacionales.","ENLASA es una generadora termoeléctrica, claramente clasificada en Mining/Energía. Como empresa del sector eléctrico está regulada por la CNE (Comisión Nacional de Energía), otorgando 15 puntos. Con 80 trabajadores (gran empresa) y operaciones en generación, estimamos 50-200 proveedores (combustible, equipos, servicios especializados), sumando 15 puntos. Sin señal externa reportada (N/A = 0 puntos). El dolor principal es gestionar proveedores en un sector altamente regulado donde los riesgos de cumplimiento son críticos.",20,8,3,15,15
NCG SERVICIOS S.A.,76146912-6,No calificados,Financiero,0,2,20,32,financiero,Verificación de contrapartes en asesoría financiera y cumplimiento normativo CMF,"Empresa de asesoría financiera con obligación CMF (+30). Tamaño pequeño, tramo 10 SII (+5). Sector financiero implica compliance obligatorio pero bajo volumen de proveedores estimado para este perfil (+0). Sin señal de urgencia inmediata detectada. Score moderado-bajo debido a tamaño y ausencia de eventos disparadores.",76,financiero,Validación de contrapartes financieras y detección de riesgos regulatorios en clientes y proveedores de servicios de inversión,"NCG Servicios opera en asesoría financiera y consultoría en inversión, segmento regulado por CMF que obliga verificación de contrapartes (+40 regulación). Como empresa de gran tamaño en servicios profesionales, se estima base de proveedores entre 50-200 (+12 proveedores). Sin señales públicas de licitación, multas, M&A o cambios regulatorios recientes (+0 señal). Desconocimiento sobre uso de herramientas de compliance avanzadas (+0 competencia).",53,Financiero,"Gestión de riesgos y compliance en la evaluación de clientes, proveedores y colaboradores del sector financiero de asesoría de inversión","NCG Servicios opera en asesoría y consultoría en inversión financiera, claramente ubicada en el vertical Financiero. Como empresa de servicios financieros en Chile, está regulada por la CMF (Comisión para el Mercado Financiero), otorgando 15 puntos en regulación. Con 20 trabajadores y enfoque en servicios de consultoría, se estima manejo de 50-200 proveedores (servicios, tecnología, outsourcing), asignando 15 puntos. Sin señal externa reportada (N/A), recibe 0 puntos. El pain point principal es la evaluación de riesgos en relaciones B2B del ecosistema financiero, exactamente lo que Plutto resuelve.",20,0,0,15,15
UNIBAG SPA.,76283675-0,No calificados,Manufactura / Retail,0,0,79,17,manufactura,Verificación manual de proveedores textiles sin automatización de compliance,"Empresa pequeña (Tramo 11) en manufactura textil sin regulación compliance obligatoria (-30 puntos). No hay señal de evento urgente. Sector textil típicamente maneja entre 50-200 proveedores (+15). Tamaño pequeña (+5). Sin información de competidores actuales (+0). Total: 15 + 5 = 20 base, ajustado a 17 por bajo potencial regulatorio y tamaño.",28,manufactura,Gestión del riesgo en la cadena de suministro textil: verificación de proveedores y cumplimiento normativo en fabricación,"UNIBAG es una gran empresa de manufactura textil (tramo SII 11). En el segmento Manufactura/Retail: regulacion=0 (no regulada específicamente por autoridades de supervisión financiera o sectorial); proveedores=5 (asumiendo menos de 50 proveedores directos típicos en fabricación textil especializada); señal=0 (sin licitaciones, multas, M&A o nuevas regulaciones reportadas); competencia=0 (sin información de uso de herramientas de compliance especializadas, por lo que se asigna desconocido, no penalización). El tamaño ya fue asignado con 20 puntos como se indicó.",43,Manufactura Retail,"Gestión y evaluación de proveedores de materias primas textiles y componentes de fabricación para asegurar calidad, cumplimiento normativo y continuidad de suministro","UNIBAG SPA es una empresa manufacturera dedicada a la fabricación de productos textiles (giro: FABRICACION DE OTROS PRODUCTOS TEXTILES N.C.P.), clasificada como gran empresa con 79 trabajadores. Se asigna al vertical 'Manufactura Retail' por su naturaleza productiva. No hay regulación específica aplicable (0 puntos). Se estima entre 50-200 proveedores típicos para una manufactura textil de este tamaño (15 puntos). Sin señal externa reportada (0 puntos). El dolor principal es la necesidad de evaluar y monitorear proveedores de insumos textiles y accesorios.",20,0,3,0,15
INTERFACTOR S.A.,76381570-6,No calificados,Financiero,0,5,83,52,financiero,Verificación de contrapartes y cumplimiento normativo CMF en operaciones financieras,INTERFACTOR opera en servicios financieros (regulado por CMF) lo que suma +30 por obligación compliance. Tramo 11 de ventas SII indica empresa mediana (+12). Sin señal reciente identificada (0). Volumen de proveedores típico de empresa financiera mediana estimado entre 50-200 (+15). No se detecta información sobre competidores actuales (0). Score refleja alto potencial regulatorio pero falta claridad en urgencia inmediata.,76,financiero,Gestión del riesgo de contrapartes y cumplimiento de obligaciones de debida diligencia regulatoria en intermediación financiera,"INTERFACTOR es una empresa de servicios financieros (no seguros ni fondos de pensiones) clasificada como gran empresa. Se asigna segmento Financiero. Regulacion: +40 puntos porque empresas de servicios financieros están reguladas por CMF con obligación explícita de verificar contrapartes (KYB). Proveedores: +12 puntos asumiendo rango 50-200 proveedores típico en intermediación financiera (sin dato específico, se estima conservadoramente). Señal: 0 puntos, no hay información de licitación, multas, M&A o nueva regulación. Competencia: 0 puntos, no se indica uso de herramientas de compliance especializadas (Regcheq/LexisNexis/KPMG).",56,Financiero,Gestión del riesgo de cumplimiento normativo en la cadena de proveedores financieros y validación de contrapartes ante regulación CMF,"INTERFACTOR S.A. se clasifica en vertical Financiero porque su giro explícito es 'OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS' y el nombre sugiere intermediación financiera. Recibe 15 puntos en regulación porque como empresa de servicios financieros está necesariamente regulada por CMF (Comisión para el Mercado Financiero). En proveedores estima 15 puntos (50-200) considerando que es una gran empresa (83 trabajadores) en sector financiero con estructura compleja (5 empresas padre), lo que implica relaciones multi-proveedor moderadas pero no masivas. Sin señal externa reportada, asigna 0 puntos. El pain point es relevante porque empresas financieras requieren validar constantemente sus contrapartes bajo estricta regulación CMF.",20,0,3,15,15
GRUPO LAGOS S.A,76416265-K,No calificados,Financiero,3,5,117,65,financiero,Verificación obligatoria de contrapartes y clientes en fondos de inversión,Regulación CMF obligatoria (+30). Gran empresa por tramo ventas 11 (+20). Sector financiero requiere KYB continuo para cumplimiento normativo. Volumen de proveedores estimado entre 50-200 (+15). Sin señal de urgencia inmediata (-0). Competencia no verificada (+0).,76,financiero,"Cumplimiento normativo en debida diligencia de contrapartes (CMF), gestión de riesgo de proveedores financieros y detección de actividades ilícitas en la cadena de inversión","GRUPO LAGOS S.A es clasificado como Financiero por su giro en fondos y sociedades de inversión. Regulación: +40 pts porque como entidad financiera está regulada por CMF con obligación explícita de verificar contrapartes. Proveedores: +12 pts estimado en rango 50-200 proveedores típico de fondos de inversión (gestores, custodios, asesores, intermediarios). Señal: +0 pts sin datos de licitaciones, multas, M&A o nueva regulación reportada. Competencia: +0 pts sin información sobre herramientas de compliance utilizada (desconocido).",71,Financiero,"Gestión de debida diligencia en proveedores y contrapartes del sector financiero, cumplimiento normativo CMF y detección de riesgos reputacionales en inversiones.","El giro 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES' clasifica claramente en el vertical Financiero. Como entidad de inversión está regulada por la CMF (Comisión para el Mercado Financiero), otorgando 15 puntos. Con 117 trabajadores y 5 empresas padres, la estructura organizacional sugiere entre 50-200 proveedores típicos del sector (15 puntos). Sin señal externa reportada (N/A = 0 puntos). Como fondo o sociedad de inversión, requiere KYB riguroso de contrapartes y proveedores para cumplir regulaciones.",20,15,3,15,15
AGUAS DE ANTOFAGASTA S.A.,76418976-0,No calificados,Utilities / Infraestructura,2,2,649,72,utilities,Verificación de proveedores en cadena de suministro de agua potable,"Empresa utilities regulada por SISS con obligación compliance (+30). Gran empresa tramo 13 (+20). Sector agua requiere múltiples proveedores en tratamiento y distribución (estimado 80-150, +15). Sin señal reciente identificada (+0). No se confirma competidor actual (+0). Score potenciado por ser monopolio regulado con alto riesgo reputacional y cumplimiento obligatorio.",72,utilities,Gestión de riesgos en cadena de suministro de proveedores críticos para operaciones de agua potable y cumplimiento regulatorio ante SISS,"Aguas de Antofagasta es una empresa de servicios básicos (captación, tratamiento y distribución de agua) regulada por SISS (Superintendencia de Servicios Sanitarios), por lo que recibe 30 puntos en regulación. Estimado 50-200 proveedores basado en operaciones de infraestructura sanitaria típicas: 15 puntos. Sin señales de licitación, M&A o nueva regulación identificadas: 0 puntos. Desconocido método de debida diligencia de proveedores: 0 puntos competencia. El segmento Utilities/Infraestructura es el más apropiado dado su naturaleza de servicio esencial regulado por SISS.",71,Utilities/Infraestructura,Gestión y evaluación de riesgos de proveedores críticos en cadena de suministro de servicios esenciales de agua potable,"Aguas de Antofagasta es una empresa de captación, tratamiento y distribución de agua potable, claramente clasificable en Utilities/Infraestructura. Como prestadora de servicios esenciales de agua, está regulada por la Superintendencia de Servicios Sanitarios (regulador sectorial relevante similar a CMF/CNE en importancia regulatoria) = 15 puntos. Con 649 trabajadores y operaciones en tratamiento/distribución, probablemente maneja entre 50-200 proveedores (químicos, equipamiento, construcción, servicios) = 15 puntos. No hay señal externa explícita en los datos = 0 puntos. El pain_point clave es la evaluación de proveedores en un sector crítico donde fallos de suministro tienen impacto público.",20,8,8,15,15
CONSTRUCTORA ELISUR  SPA,76473364-9,No calificados,Manufactura / Retail,0,0,432,32,manufactura,Verificación de proveedores y subcontratistas en proyectos de construcción residencial,Constructora mediana (tramo 11) sin regulación compliance obligatoria específica. Construcción residencial típicamente maneja 50-200 proveedores/subcontratistas (+15). Tamaño mediano (+12). Sin señales de urgencia recientes (+0). Sin información de competidores actuales (+0). Score moderado: potencial viable pero no prioritario sin event trigger.,39,otro,"Evaluación de proveedores y subcontratistas en proyectos de construcción residencial para mitigar riesgos de fraude, insolvencia y incumplimiento normativo","Constructora Elisur es clasificada en segmento 'Otro' ya que construcción residencial no encaja en Financiero, Mining/Energía, Utilities/Infraestructura ni Manufactura/Retail. Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: 15 puntos (estimado 50-200 proveedores típicos en constructora grande con múltiples proyectos simultáneos). Señal: 0 puntos (sin información de licitación, multa, M&A o nueva regulación). Competencia: 0 puntos (desconocido si utiliza herramientas especializadas de due diligence).",70,Utilities/Infraestructura,Gestión y evaluación de riesgos de múltiples proveedores y subcontratistas en proyectos de construcción residencial,"La empresa es clasificada en Utilities/Infraestructura porque la construcción de edificios residenciales es parte de la cadena de infraestructura urbana. Está regulada (15 puntos) por entidades como la SEC (Superintendencia de Electricidad y Combustibles) en aspectos de instalaciones, y potencialmente por SERNAC en temas de protección al consumidor. Con 432 trabajadores y operaciones en construcción, maneja probablemente >200 proveedores (25 puntos) considerando materiales, equipos, servicios especializados y subcontratistas. Sin señal externa reportada (0 puntos). El dolor principal es la debida diligencia continua de una cadena compleja de proveedores y colaboradores en proyectos de construcción.",20,0,5,15,25
GENERADORA METROPOLITANA SPA,76538731-0,No calificados,Mining / Energía,1,1,77,65,utilities,Verificación de proveedores y contrapartes en cadena de suministro energética,"Empresa generadora de energía eléctrica con regulación compliance obligatoria por SEC/CNE (+30). Tramo 13 de ventas indica gran empresa (+20). Sector utilities requiere verificación de contrapartes por normativa. Volumen probable de proveedores >200 en operaciones termoeléctricas (+25). Sin señal de evento urgente (-0). Sin información sobre competidores actuales (asumimos sin solución, +0). Score: 30+20+15+0+0 = 65",68,mining,"Gestión de riesgos regulatorios y de cumplimiento en cadena de suministro de proveedores de combustibles, equipos y servicios especializados en generación termoeléctrica","Generadora Metropolitana es una empresa de generación de energía eléctrica en centrales termoeléctricas, por lo que se clasifica en el segmento Mining/Energía. Regulación: +30 puntos por estar regulada por la CNE (Comisión Nacional de Energía). Proveedores: +15 puntos estimados en rango 50-200 proveedores típicos de plantas termoeléctricas (combustibles, mantenimiento, equipos especializados). Señal: 0 puntos al no identificarse señales de licitación pública, multas, M&A o nueva regulación específica en la información disponible. Competencia: 0 puntos al no constar uso de herramientas de compliance terceras (Regcheq/LexisNexis/KPMG).",61,Mining/Energía,Gestión de compliance regulatorio ante CNE y cumplimiento de estándares de seguridad en operaciones de generación termoeléctrica; evaluación de proveedores críticos en cadena de suministro de combustibles y equipos especializados.,"La empresa se clasifica en Mining/Energía por su giro explícito de 'GENERACION DE ENERGIA ELECTRICA EN CENTRALES TERMOELECTRICAS'. Está regulada por CNE (Comisión Nacional de Energía) como generadora eléctrica (15 puntos). Con 77 trabajadores y operaciones de generación, es probable que gestione 50-200 proveedores críticos en combustibles, equipos, servicios técnicos y mantenimiento (15 puntos). No hay señal externa reportada (0 puntos). El tamaño ya fue calculado en 20 puntos. Total estimado: 50 puntos.",20,3,3,15,15
